,HeadQuarter,Amount($)
77,Mumbai,243985106820.107
9,Bangalore,45188948920.61434
80,New Delhi,10316036774.098576
42,Gurgaon,7693059789.921056
15,Bengaluru,7092577585.692544
43,Gurugram,6756688550.139611
96,Pune,5334887119.11186
28,Delhi,4878468751.920236
23,Chennai,3837570934.3091555
85,Noida,3549697079.493708
21,California,3164160249.9107394
47,Hyderabad,2950869523.2900214
45,Haryana,1965781467.0849524
53,Jaipur,1746424386.6003804
1,Ahmedabad,1348458090.8288918
64,Kolkata,1154810090.8288918
50,Indore,775205810.522841
10,Bangalore City,629168825.9882786
127,Thane,602367780.3060508
49,India,503335060.79062295
116,"Shanghai, China",400000000.0
65,Kormangala,377501295.5929672
22,Chandigarh,365120566.3191344
31,Faridabad,345833765.19765574
63,Kochi,343997780.3060508
18,Bhopal,337527780.3060508
62,Kerala,257580749.732218
37,Ghaziabad,255817530.39531147
13,Beijing,200000000.0
40,Gujarat,195820499.82147866
56,"Jiaxing, Zhejiang, China",176000000.0
16,Berlin,170000000.0
25,Coimbatore,162233765.19765574
111,"San Ramon, California",150000000.0
6,Andheri,148833765.19765574
69,"London, England, United Kingdom",143000000.0
24,Cochin,127733765.19765574
57,Jodhpur,127653765.19765574
61,Kanpur,127233765.19765574
135,Uttar Pradesh,126933765.19765574
14,Belgaum,126433765.19765574
95,Powai,126233765.19765574
70,Lucknow,126183765.19765574
131,Trivandrum,126133765.19765574
59,Kalpakkam,125833765.19765574
58,Kalkaji,125833765.19765574
78,Mylapore,125833765.19765574
60,Kannur,125833765.19765574
75,Mohali,125833765.19765574
73,Margão,125833765.19765574
66,Kota,125833765.19765574
140,Worli,125833765.19765574
5,Anand,125833765.19765574
7,Azadpur,125833765.19765574
46,Hubli,125833765.19765574
2,Alleppey,125833765.19765574
41,Guntur,125833765.19765574
39,Guindy,125833765.19765574
3,Alwar,125833765.19765574
30,Ernakulam,125833765.19765574
93,Patna,115860249.91073933
32,"Faridabad, Haryana",102500000.0
107,"San Francisco Bay Area, Silicon Valley, West Coast",90060249.91073933
123,Tamil Nadu,85860249.91073933
105,San Franciscao,85860249.91073933
89,"Palmwoods, Queensland, Australia",85860249.91073933
35,"Frisco, Texas, United States",85860249.91073933
133,"Tumkur, Karnataka",85860249.91073933
138,Warangal,85860249.91073933
106,San Francisco,84000000.0
51,Information Technology & Services,75000000.0
54,"Jaipur, Rajastan",56900000.0
108,"San Francisco Bay Area, West Coast, Western US",55000000.0
98,Rajasthan,33000000.0
12,Banglore,32000000.0
19,Bhubaneswar,30000000.0
109,"San Francisco, California, United States",29500000.0
8,Bangaldesh,22000000.0
71,Ludhiana,20000000.0
110,"San Francisco, United States",18000000.0
112,Santra,15000000.0
122,"Sydney, New South Wales, Australia",15000000.0
118,Singapore,13980000.0
82,"New York, United States",12500000.0
124,"Tangerang, Jawa Barat, Indonesia",12000000.0
34,France,11000000.0
67,Kottayam,10000000.0
125,Telangana,10000000.0
86,Odisha,10000000.0
137,Vadodara,10000000.0
11,Bangkok,9000000.0
17,Bhilwara,8000000.0
121,Sydney,7500000.0
81,New York,7000000.0
120,Surat,5600000.0
92,"Paris, Ile-de-France, France",5400000.0
0,Ahmadabad,5300000.0
88,Orissia,5000000.0
103,"Samastipur, Bihar",5000000.0
83,New delhi,5000000.0
94,"Plano, Texas, United States",3000000.0
104,Samsitpur,3000000.0
74,"Milano, Lombardia, Italy",2300000.0
27,Dehradun,2000000.0
139,West Bengal,1500000.0
126,Telugana,1500000.0
115,Seoul,1400000.0
38,Goa,1368000.0
101,Riyadh,1300000.0
26,Computer Games,1200000.0
68,London,1200000.0
48,Hyderebad,1100000.0
114,Seattle,1100000.0
97,Rajastan,1000000.0
90,Panaji,1000000.0
136,Uttar pradesh,1000000.0
117,Silvassa,1000000.0
33,Food & Beverages,922000.0
119,"Small Towns, Andhra Pradesh",800000.0
130,"Tirunelveli, Tamilnadu",500000.0
134,Undefined,500000.0
52,"Irvine, California, United States",500000.0
79,Nagpur,350000.0
20,Bihar,329000.0
84,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",300000.0
132,"Trivandrum, Kerala, India",300000.0
36,Gandhinagar,200000.0
99,Rajsamand,200000.0
4,Ambernath,200000.0
128,The Nilgiris,200000.0
113,Satara,140000.0
29,"Dhingsara, Haryana",100000.0
91,Panchkula,100000.0
100,Ranchi,100000.0
102,Roorkee,0.0
55,Jharkhand,0.0
72,Mangalore,0.0
44,Guwahati,0.0
129,Thiruvananthapuram,0.0
87,Online Media,0.0
76,"Mountain View, CA",0.0
